cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2026-32202,Windows Server 2022,4.3,0.07888,True,CVE CVE-2026-32202 affects Windows Server 2022. EPSS score 0.0789 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-32202,Windows 10 Pro,4.3,0.07888,True,CVE CVE-2026-32202 affects Windows 10 Pro. EPSS score 0.0789 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21335,Windows Server 2022,7.8,0.0765,True,CVE CVE-2025-21335 affects Windows Server 2022. EPSS score 0.0765 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21335,Windows 10 Pro,7.8,0.0765,True,CVE CVE-2025-21335 affects Windows 10 Pro. EPSS score 0.0765 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24054,Windows Server 2022,6.5,0.07639,True,CVE CVE-2025-24054 affects Windows Server 2022. EPSS score 0.0764 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24054,Windows 10 Pro,6.5,0.07639,True,CVE CVE-2025-24054 affects Windows 10 Pro. EPSS score 0.0764 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-5274,Google Chrome,9.6,0.06642,True,CVE CVE-2024-5274 affects Google Chrome. EPSS score 0.0664 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21334,Windows Server 2022,7.8,0.05802,True,CVE CVE-2025-21334 affects Windows Server 2022. EPSS score 0.0580 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21334,Windows 10 Pro,7.8,0.05802,True,CVE CVE-2025-21334 affects Windows 10 Pro. EPSS score 0.0580 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21391,Windows Server 2022,7.1,0.04717,True,CVE CVE-2025-21391 affects Windows Server 2022. EPSS score 0.0472 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21391,Windows 10 Pro,7.1,0.04717,True,CVE CVE-2025-21391 affects Windows 10 Pro. EPSS score 0.0472 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21519,Windows Server 2022,7.8,0.04517,True,CVE CVE-2026-21519 affects Windows Server 2022. EPSS score 0.0452 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
